$ kubectl get pods -A -o wide
NAMESPACE               NAME                                    READY   STATUS                   RESTARTS         AGE     IP              NODE                           NOMINATED NODE   READINESS GATES
data-platform-process   flink-jobmanager-db7867d45-hhz2n        1/1     Running                  0                73m     10.108.11.214   basic-compute-nodepool-day90   <none>           <none>
data-platform-process   flink-taskmanager-6bb689d7b5-l5gz5      0/1     CrashLoopBackOff         8 (72s ago)      73m     10.108.11.197   basic-compute-nodepool-day90   <none>           <none>
data-platform-process   spark-676cd8859b-x9mw7                  1/1     Running                  0                73m     10.108.11.204   basic-compute-nodepool-day90   <none>           <none>
data-platform-process   spark-bootstrap-7f46fcdbbc-p8rwk        1/1     Running                  11 (4m43s ago)   73m     10.108.11.225   basic-compute-nodepool-day90   <none>           <none>
data-platform-serve     superset-6c777cf769-kzvfw               1/1     Running                  0                73m     10.108.11.183   basic-compute-nodepool-day90   <none>           <none>
data-platform-serve     superset-bootstrap-7fvzx                0/1     ContainerStatusUnknown   4 (68m ago)      91m     10.108.11.200   basic-compute-nodepool-day90   <none>           <none>
data-platform-serve     superset-bootstrap-qm8gh                0/1     ContainerStatusUnknown   3 (46m ago)      48m     10.108.11.184   basic-compute-nodepool-day90   <none>           <none>
data-platform-serve     superset-bootstrap-tnb7p                0/1     ContainerStatusUnknown   1 (26m ago)      27m     10.108.11.130   basic-compute-nodepool-day90   <none>           <none>
data-platform-serve     trino-748599d677-gm8v6                  1/1     Running                  0                60s     10.108.11.211   basic-compute-nodepool-day90   <none>           <none>
data-platform-serve     trino-748599d677-p2g95                  0/1     Error                    1                92m     10.108.11.155   basic-compute-nodepool-day90   <none>           <none>
data-platform-serve     trino-748599d677-sdwcs                  0/1     Error                    0                27m     10.108.11.206   basic-compute-nodepool-day90   <none>           <none>
kube-system             cilium-jp78b                            1/1     Running                  0                103m    10.118.0.4      basic-compute-nodepool-day90   <none>           <none>
kube-system             cilium-pfvhr                            0/1     Error                    0                57s     10.118.0.2      basic-compute-nodepool-dab3b   <none>           <none>
kube-system             coredns-b59ff8687-dbmkz                 1/1     Running                  0                73m     10.108.11.207   basic-compute-nodepool-day90   <none>           <none>
kube-system             coredns-b59ff8687-qskkn                 1/1     Running                  0                73m     10.108.11.129   basic-compute-nodepool-day90   <none>           <none>
kube-system             cpc-bridge-proxy-ebpf-px4cf             1/1     Running                  0                103m    10.118.0.4      basic-compute-nodepool-day90   <none>           <none>
kube-system             cpc-bridge-proxy-ebpf-w2l49             0/1     NodeShutdown             0                25s     <none>          basic-compute-nodepool-dab3b   <none>           <none>
kube-system             csi-do-node-r6q82                       2/2     Running                  0                103m    10.118.0.4      basic-compute-nodepool-day90   <none>           <none>
kube-system             csi-do-node-v6brs                       0/2     NodeShutdown             0                25s     <none>          basic-compute-nodepool-dab3b   <none>           <none>
kube-system             do-node-agent-ppglt                     1/1     Running                  0                103m    10.118.0.4      basic-compute-nodepool-day90   <none>           <none>
kube-system             do-node-agent-tjhmc                     0/1     NodeShutdown             0                25s     <none>          basic-compute-nodepool-dab3b   <none>           <none>
kube-system             doks-telemetry-config-reloader-dmvdm    1/1     Running                  0                29s     10.118.0.2      basic-compute-nodepool-dab3b   <none>           <none>
kube-system             doks-telemetry-config-reloader-vtx5c    1/1     Running                  0                103m    10.118.0.4      basic-compute-nodepool-day90   <none>           <none>
kube-system             hubble-relay-586f444678-5j87x           1/1     Running                  0                73m     10.108.11.145   basic-compute-nodepool-day90   <none>           <none>
kube-system             hubble-ui-6b7f58bdd5-b89vf              2/2     Running                  0                73m     10.108.11.167   basic-compute-nodepool-day90   <none>           <none>
kube-system             konnectivity-agent-42vlc                1/1     Running                  0                103m    10.108.11.233   basic-compute-nodepool-day90   <none>           <none>
kube-system             konnectivity-agent-pcrvk                1/1     Running                  0                29s     10.108.13.53    basic-compute-nodepool-dab3b   <none>           <none>
